Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Mơ lông, Dây thối địt, Dắm chó, Ngưu bì đống, Cẩu xú đằng, Khau tất ma (Tày), Co tốt ma (Thái)",Paederia foetida L.,0,Rubiaceae,"Chữa lỵ, sôi bụng, viêm ruột, tê thấp, sỏi thận, viêm dạ dày, viêm ruột, bó gãy xương (Lá).",Cây trồng.,II-XII
"Lữ đằng mềm, Mẫu thảo mềm",Lindernia mollis (Benth.) Wettst. – Vandellia mollis Benth.,0,Scrophulariaceae,"Lỵ trực trùng, viêm ruột, ỉa chảy, rối loạn tiêu hoá, viêm gan, viêm thận thủy thũng, bạch đới, cảm mạo (cả cây). Dùng ngoài chữa mụn nhọt, đòn ngã tổn thương.","Cây mọc nơi ẩm, sáng, bãi hoang, ruộng hoang, lùm bụi, phổ biến ở Việt Nam.",VI-XII
"Tre giàng, Trúc đốt lớn",Indosasa crassiflora Mc Clure,0,Poaceae,"Trẻ em sốt cao, co giật (Rễ).","Quảng Ninh. Cây mọc tự nhiên ở ven đường, ven suối, thung lũng, trảng cây bụi",0
"Rau giền đuôi ngắn, Dền đuôi chồn.",Amaranthus caudatus L.,0,Amaranthaceae,"Chữa tứ chi tê mỏi, đau lưng, thấp nhiệt, ỉa chảy, trĩ, đái són đau và chữa các vết loét (Rễ, thân).","Lào Cai (Sa Pa), Hà Giang (Quản Bạ, Tráng Kìm), Nam Bộ. Cây mọc tự nhiên, còn được trồng.",V-VIII
"Ô dược nam, Thiên thai ô dược, Dầu đắng, Ô dược",Lindera myrrha (Lour.) Merr. – Laurus myrraha Lour.,0,Lauraceae,"Cảm gió, đau ngực, bụng đầy trướng, ăn uống không tiêu, giun sán (Rễ).","Thừa Thiên Huế, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên rải rác trong rừng phục hồi sau khai thác, ở độ cao dưới 500 m.",II-IV; 5-8
"Mồng sa, Bơ khí cáy, Cây mòn, Mí mắt",Strophioblachia fimbricalyx var. galandulosa (Pax) Thin et Duc,0,Euphorbiaceae,Táo bón (Lá).,"Lạng Sơn, Quảng Ninh, Bắc Kạn, Ninh Bình, Thanh Hóa, Khánh Hòa, Nam Bộ. Cây mọc tự nhiên dưới tán rừng thường xanh và đồi cây bụi, ở độ cao 100-500 m.",III-V. 
Thủy nữ sóng,Nymphoides cristata (Roxb.) Kuntze – Menyanthes cristata Roxb.,0,Menyanthaceae,"Hoàng đản, thấp nhiệt, bí đại tiểu tiện, phù (cả cây).","Quảng Trị. Cây mọc tự nhiên ở nơi ẩm, lầy và ao hồ.",VII-XI
"De bắc, Hậu phác nam, Quế lợn, Quế rừng, Ô dước, Mạy xả (Tày)",Cinnamomum tonkinense (Lecomte) A.Chev. – C. albiflorum var. tonkinense Lecomte,0,Long não (Lauraceae),"Thuốc kích thích tiêu hoá, bổ dạ dày, đau thận, ho, đau bụng, cảm mạo và đau xương (Vỏ sắc uống).","Hoà Bình, Lai Châu, Thanh Hóa. Cây mọc tự nhiên trong rừng thường xanh, ven rừng.",IV-V
"Mát rừng, Bạch chỉ nam",Millettia pulchra (Colebr. ex Benth.) Kurz – Mundulea pulchra Colebr. ex Benth.,0,Fabaceae,"Rễ chữa cảm mạo, sốt nóng, phong nhiệt, mẩn ngứa, phong thấp, đau nhức, đau bụng ỉa chảy.","Sơn La (Sông Mã), Bắc Giang (Vĩnh Phúc). Cay mọc tự nhiên dọc khe suối, ở độ cao tới 1400 m. Còn được trồng.",IV-VI; 9-10
"Thài lài tía, Rau trai tía, Co hồng trai, Chạ pi đeng, Biển súc, Phiéc đa đeng (Tày), Xa phón sí (Dao)",Tradescantia zebrina Hort. ex Loud. – Zebrina pendula Schnizl.,0,Commelinaceae,"Tụ máu, hàn vết thương (Lá giã đắp). Kiết lỵ, giun đũa, đái dắt, đái buốt, đái ra máu, chữa sỏi thận, vàng da (cả cây sắc uống).","Cây mọc tự nhiên nơi ẩm trên núi đá nhiều mùn, còn được trồng làm cảnh ở nhiều nơi.",III-VIII
Hà biện môi nhỏ,Habenaria linguella Lindl.,0,Orchidaceae,Chữa phong thấp.,"Quảng Ninh, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên rải rác trong rừng thưa, ở độ cao 300-400 m",0
"Chuồn chuồn vàng, Sao nhái",Cosmos sulphureus Cav.,0,Asteraceae.,"Chữa ho, rắn cắn, tim đập nhanh (Hạt sắc nước uống).",Cây trồng làm cảnh.,I-III
"Tai mèo, Bông vàng, Phác nhật sai, Bất thực",Abroma augusta (L.) L.f. – Theobroma augusta L.,0,Sterculiaceae,"Điều kinh, lợi tiểu, lậu, bại liệt (Lá, vỏ sắc uống).","Hà Giang, Cao Bằng, Hòa Bình, Thanh Hóa, Tây Ninh. Cây mọc tự nhiên rải rác trong rừng thưa.",III-V; 6-8
Chùm chài,Dasymaschalon robinsonii Ast,0,Na (Annonaceae,0,0,0
"Mũi câu tím, Thạch hộc hoa tím",Dendrobium hercoglossum Reichb. f.,0,Orchidaceae,"Thận hư, đau lưng, gối, tân dịch kém.","Tuyên Quang, Quảng Trị, Đà Nẵng, Lâm Đồng. Cây mọc tự nhiên.",IV-V
"Sâm tuế, Sâm mây, Tuế lá xẻ, Cút loà",Cycas micholitzii Dyer,0,Cycadaceae,"Bổ máu, đau dạ dày (Rễ sắc uống).","Cây mọc tự nhiên ở rừng thưa trên đất tốt, ẩm phổ biến ở các tỉnh Nam Trung bộ. Loài đã đưa vào sách đỏ Việt Nam.",XI-III
"Thanh cúc, Cúc vỏ sò, Cúc nam",Centaurea cyanus L.,0,Cúc – Asteraceae,"Dùng làm hương liệu, rửa mắt sưng hay mỏi mắt (cụm hoa đầu).","Cây nhập trồng ở Đắk Lắk, Lâm Đồng (Đà Lạt, Bảo Lộc), Tp. Hồ Chí Minh.",Tháng 11 – 2 năm sau. 
"Bìm lá tàTên gọi khác: Đinh công, Chân bìm lá tà",Erycibe obtusifolia Benth.,0,Bìm bìm (Convolvulaceae),"Chữa phong thấp, đau dây thần kinh tọa, bại liệt nửa người (cả cây).","Sơn La, Ninh Bình, Hòa Bình, Lào Cai (Sa Pa). Cây mọc tự nhiên ven núi đá.",VIII
"Tai tượng đỏ, Tai tượng nâu, Tai tượng trổ, Tai voi",Acalypha wilkesiana Muell.- Arg.,0,Euphorbiaceae,"Giun, ghẻ, tê thấp, nhuận tràng (Lá sắc uống).",Cây được trồng làm cảnh phổ biến ở Việt Nam.,V-X
"Vảy đắng, Dây hoàng liên",Arcangelisia flava (L.) Merr. ,0,Menispermaceae,"Sốt, viêm ruột, trị vết thương, viêm khí quản; còn dùng làm thuốc bổ huyết, điều kinh (Thân). Rễ làm thuốc nhuận tràng, sưng amygdal, ghẻ lở, sốt rét.","Đồng Nai (Định Quán, Bảo Chánh). Mọc rải rác ven rừng.",0
"Hoàng cầm nam bộ, Thuẫn Nam bộ",Scutellaria cochinchinensis Briq.,0,Lamiaceae,"Chữa rắn cắn, sưng tấy.","Lào Cai (Sa Pa), Ninh Bình (Chợ Ghềnh), Quảng Bình, Quảng Trị, Thừa Thiên Huế , Đà Nẵng, Lâm Đồng. Cây mọc tự nhiên trong rừng, ven suối.",6-12
"Nhân trần tây ninh, Nhân trần tía, Nhân trần cái, Chè cát",Adenosma bracteosum Bonati,0,Scrophulariaceae,"Cảm cúm, viêm gan (cả cây sắc uống). Còn chữa bại liệt, thấp khớp, đau dạ dày và cho phụ nữ sau khi sinh uống.","Tây Ninh, Kon Tum. Cây mọc tự nhiên ở các bãi hoang, ruộng hoang, ở độ cao 300-400 m.",VII-XII
"Khuyển thiệt, Cỏ thạch sùng xây lan",Cynoglossum zeylanicum (Vahl) Brand – Anchusa zeylanica Vahl ex Hornem.,0,Boraginaceae,"Chữa đau bụng trẻ em, ra mồ hôi trộm, mẩn ngứa (cả cây).","Lào Cai (Sa Pa), Hà Giang (Phó Bảng), Lâm Đồng (Đà Lạt). Cây mọc tự nhiên rải rác trên các bãi hoang, ven đường, ở độ cao 1300-1800 m.",5-10
Tân hoa,Stranvaesia davidiana Decne.,0,Rosaceae,"Phong thấp, lỵ, thông kinh, rối loạn tiêu hoá (cả cây).","Lào Cai (Sa Pa: Núi Fansipan), ở độ cao 2.500m.",VIII-XI
"Rau má trung quốc, Rau má dại",Hydrocotyle chinensis (Dunn) Craib,Hydrocotyle javanica var. chinensis Dunn ex Shan & Liou,Hoa tán – Apiaceae,"Chữa đau bụng, tiểu tiện bất lợi và bệnh mẩn ngứa (cả cây).","Sơn La (Mộc Châu), Cao Bằng (Phia Oắc), Hòa Bình (Mường Mua), Hà Nội, Kon Tum (Đắk Glei, Ngọc Linh).",0
"Mơ rừng, Mác ma (Tày)",Paederia microcephala Pierre ex Pitard,0,Rubiaceae,"Chữa đau bụng, sốt rét (Rễ, lá).",Bình Dương (Thủ Dầu Một). Cây mọc tự nhiên.,VIII-XII
"Tràng quả tán, Ba chẽ tán",Dendrolobium umbellatum (L.) Benth. – Hedysarum umbellatum L.;Desmodium umbellatum (L.) DC.,0,Fabaceae.,Chữa ho (cả cây).,"Khánh Hoà, Phú Yên. Cây mọc tự nhiên vùng ven biển, có thể mọc trên đất mặn.",I-XII
BơTên gọi khác: Lê tàu,Persea americana Mill. – Laurus persea L.,0,Long não (Lauraceae),"Bổ, chữa đau dạ dày, ruột, gan, mật (Quả chín).",Tây Nguyên và Nam bộ. Cây nhập trồng.,III-VI; 6-10.
Lan bò cạp,Calanthe triplicata (Willem.) Ames – Orchis triplicata Willem.,0,Orchidaceae,"Chữa sốt rét, cầm máu, giảm đau (củ).","Hà Giang, Cao Bằng, Quảng Ninh, Ninh Bình, Quảng Nam, Đà Nẵng, Khánh Hòa, Đồng Nai. Cây mọc tự nhiên rải rác trong rừng nguyên sinh, rừng thưa, ở độ cao 400-1.500 m",0
"Một lá tím, Trân châu nhăn, Trân châu một hoa",Nervilia crociformis (Zoll. & Mor.) Seidenf. – Nervilia crispata (Blume) Schltr.,0,Orchidaceae,Dùng như Một lá.,"Đà Nẵng, Lâm Đồng (Đức Trọng). Cây mọc tự nhiên rải rác trong rừng thưa, ở độ cao 200-600 m.",III-V
De cẩm chướng,Cinnamomum caryophyllus (Lour.) Moore – Laurus caryophyllus Lour. ,0,Long não (Lauraceae),"Thuốc kích thích tiêu hoá, chữa đau bụng, thổ tả (Vỏ).","Nam Bộ. Cây mọc tự nhiên rải rác trong rừng, ở độ cao 400-500 m.",III-V
Cổ bình godefrey,Tadehagi godefroyanum (Kuntze) Ohashi – Meibomia godefroyana Kuntze,0,Fabaceae.,Thân lá sắc nước ngậm làm dịu cơn đau răng.,"An Giang (Châu Đốc). Cây bụi mọc tự nhiên trong rừng rậm thường xanh và rừng thưa, gần sông suối, ở độ cao tới 800 m",0
"Huyết đằng hoa nhỏ, Dây kim luông",Spatholobus parviflorus (Roxb. ex DC.) Kuntze – Butea parviflora Roxb.,0,Fabaceae,"Thuốc bổ máu, chữa khí hư, kinh nguyệt không đều, bạch đới, di tinh, phong thấp và bệnh phù, đau bụng giun, rắn cắn (Thân).","Hà Giang, Sơn La, Đà Nẵng (Bà Nà), Đồng Nai. Cây mọc tự nhiên rải rác trong rừng rậm, ven suối, ở độ cao tới 800 m.",V
"Bách bệnh, Bá bịnh, Lồng bẹt, Mật nhân, Tho nan (Tày), Mờ lụ (Kho)",Eurycoma longifolia Jack,0,Simaroubaceae,"Chữa sốt, lỵ, ỉa chảy(Hạt). Bổ, thuốc khai vị (Vỏ cây). Chữa chốc lở, mụn mủ và ghẻ (Lá). Chữa nhức mỏi, đau lưng đau bụng (Rễ). Dân gian còn dùng rễ làm thuốc kích dục.","Quảng Ninh, Hải Dương (Chí Linh), Nghệ An, Quảng Bình, Quảng Trị, Thừa Thiên Huế, Quảng Nam, Quảng Ngãi, Kon Tum, Lâm Đồng, Tây Ninh. Cây mọc tự nhiên trong các rừng còi, ven rừng, đồi cây bụi.",III-VIII; 9-11
"Bách bộ đứng, Bách bộ collins, Bách bộ hoa tím",Stemona collinsae Craib,0,Stemonaceae,"Rễ củ làm thuốc tẩy giun, chữa viêm phế quản, lao phổi. Còn dùng diệt ruồi và trừ sâu.","Bình Định (Vĩnh Thạnh). Cây mọc tự nhiên ven rừng, chân núi đá, khe núi, hốc đá, hoặc trong thung lũng. Loài hiếm đã được đưa vào Sách Đỏ Việt Nam.",IV-VIII
"Khám tiết thảo, Khứu tiết thảo",Boenninghausenia albiflora (Hook.) Rchb. – Ruta albiflora Rchb.,0,Rutaceae,"Thuốc cai đẻ. Sốt rét, cảm mạo phát nhiệt, viêm nhánh khí quản, đòn ngã tổn thương, mụn nhọt, lở ngứa (Rễ, cả cây).","Cây mọc tự nhiên ở vùng núi cao 1.600 m huyện Sa Pa, tỉnh Lào Cai.",VIII; 10-11
Tử châu hoa trần,Callicarpa nudiflora Hook. et Arn.,0,Verbenaceae,"Chảy máu dạ dày, ruột, viêm gan nhiễm trùng cấp (Rễ, lá).","Bắc Cạn, Quảng Ninh, Quảng Bình, Đà Nẵng. Cây mọc tự nhiên, rải rác trong rừng thưa, ven đường, ở độ cao tới 1.000 m.",VI-VIII; 8-10
"Phòng phong nam, Cẩn buốt, Co phạch",Pimpinella candolleana Wight & Arn.,0,Apiaceae,"Phong thấp, đau dạ dày, tiêu hoá không bình thường, trẻ em kinh phong, sốt rét, đòn ngã tổn thương, mụn nhọt, lở loét, tràng nhạc (cả cây).","Lai Châu, Sơn La, Lào Cai. Cây mọc tự nhiên, còn được trồng",0
"Sì mẩn, Nhãn điệp Trung Quốc, Cỏ nhăn hoa hồng",Lipocarpha chinensis (Osb.) J. Kern,0,Cyperaceae,Viêm khớp (cả cây).,"Lao Cai, Sơn La, Vĩnh Phúc tới Gia Lai, Kon Tum, Lâm Đồng. Cây mọc tự nhiên ở vùng núi, trung du và đồng bằng nơi đất ẩm ướt.",4-9
Cỏ thỏ,Galinsoga parviflora Cav.,0,Cúc (Asteraceae),"Cầm máu, liền vết thương (Lá).","Lao Cai, Hà Giang. Cây mọc tự nhiên vùng núi cao.",V-X
"Tho, Giả tử cô, Tự kinh",Tsoongia axillariflora Merr.,0,Verbenaceae,"Ghẻ lở (Lá, vỏ). Rễ làm thuốc chữa lao phổi. Cả cây chữa viêm gan, hoàng đản.","Quảng Ninh, Vĩnh Phúc (Tam Đảo), Hà Nội (Ba Vì). Cây mọc tự nhiên trong rừng ẩm, ở độ cao 400-1.000 m.",V-VIII
Khế đất,Oxalis barrelieri L.,0,Chua me đất (Oxalidaceae),"Giải nhiệt, chữa cảm nắng, đái nước tiểu vàng, đái dắt. (cả cây giã lấy nước uống).","Quảng Nam (Tiên Phước). Cây cỏ mọc tự nhiên trên đường đi ven rừng, bãi hoang, nương rẫy.",V-VIII; 7-12
"Tam thất giả, Kim thất giả, Bầu đất dại",Gynura pseudo-china (L.) DC. – Senecio pseudochina L.,0,Asteraceae,"Giảm thụ thai, bổ, cầm máu, tiêu độc, trị sốt rét, xuất huyết tử cung, điều kinh (Rễ củ sắc uống). Thân lá giã đắp làm tan mụn nhọt.","Cây mọc tự nhiên, thường được trồng ở vùng đồng bằng và miền núi.",V-VI 
"Rau sam, Mã xỉ hiện, Sam",Portulaca oleracea L.,0,Rau sam- Portulacaceae,"Chữa lỵ trực khuẩn, lở ngứa, giun kim, mụn nhọt, viêm kết mạc cấp do vi khuẩn, còn dùng làm thuốc lợi tiểu (phần trên mặt đất).",Phổ biến ở khắp nơi.,Tháng 6 – 8. 
Tinh thảo sét,Eragrostis ferruginea (Thunb.) Beauv.,0,Poaceae,"Sưng tấy đau nhức, đòn ngã tổn thương (Rễ).","Lạng Sơn, Quảng Ninh, Phú Thọ, Hà Nội (Ba Vì), Lâm Đồng. Cây mọc tự nhiên ở nơi đất khô sườn núi, bãi cỏ, trong vườn, ven đường.",0
"Tiết dê lông, Mối trơn, Co khau y tom (Thái), Thắc thẻ (Tày)",Cissampelos pareira var. hirsuta (Buch.-Ham. ex DC.) Forman,0,Menispermaceae,"Sốt, lỵ, ỉa chảy, bệnh đường tiểu (Lá vò làm thạch ăn). Sỏi thận (Rễ).","Tuyên Quang, Hà Nội, Khánh Hòa, Ninh Thuận. Cây mọc tự nhiên ở vùng đồi trung du.",IV-VI 
"Lữ đằng lông, Màn rìa",Lindernia ciliata (Colsm.) Penn. – Gratiola ciliata Colsm.,0,Scrophulariaceae,"Bổ cho phụ nữ sau khi sinh (cả cây giã lấy nước uống). Rắn cắn, đòn ngã tổn thương, sản hậu ứ huyết, đau bụng (cả cây).","Cây mọc nơi sáng và ẩm, bãi hoang, ruộng hoang, ven đường, vườn, khá phổ biến ở Việt Nam",0
"Xoay, Xây, Lát mét",Dialium cochinchinense Pierre,0,Caesalpiniaceae,"Bổ, giải khát, chữa ỉa chảy cho trẻ em (Quả).","Quảng Nam, Quảng Ngãi, Kon Tum, Gia Lai, Đắk Lắk, Lâm Đồng. Cây mọc tự nhiên trên đất ẩm trong rừng và savan.",V
Tử hoa cự đài,Loxostigma griffithii (Wight) C.B. Clarke – Didymocarpus griffithii Wight,0,Gesneriaceae,"Cảm cúm, lỵ, tả, tiêu hoá không bình thường.","Ở Trung Quốc, cây được trị cúm, viêm não B. Lao Cai (Sa Pa). Cây mọc tự nhiên trong rừng ẩm, ở độ cao trên 1000m.",7-10
"Củ năn.Tên gọi khác: Mã thầy, Ô vu",Eleocharis dulcis (Burm.f.) Trin. ex Hensch. – Eleocharis dulcis (Burm.f.) Hensch var. tuberosa (Roxb.) T. Koyama,0,Cói (Cyperaceae),"Giải nhiệt, tiêu đờm, bổ dạ dày (Rễ củ sắc uống).","Cao Bằng, Lâm Đồng, Kiên Giang. Cây trồng chủ yếu ở Hà Giang.",3-12
Bời lời núi đá.,Litsea euosma W. W. Smith. ,0,Nguyệt quế (Lauraceae),"Chữa rắn cắn, cảm mạo, đau mình (Lá). Bội thực (Quả).","Phú Thọ, Vĩnh Phúc (Tam Đảo). Cây mọc tự nhiên rải rác trong rừng nguyên sinh, ở độ cao 350-2000 m.",II-V; 6-10
Thuẫn vân nam,Scutellaria yunnanensis H.Lév.,0,Lamiaceae,"Sốt, đau mắt màng (Lá).",Lào Cai (Sa Pa). Cây mọc tự nhiên.,IV-VIII
Chuối chác,Dasymaschalon rostratum Merr. et Chun,0,Na (Annonaceae),"Thông huyết, thông tiểu (Cành lá).","Lào Cai (Sapa), Lạng Sơn (Bắc Sơn), Vĩnh Phúc (Tam Đảo), Ninh Bình (Cúc Phương). Cây mọc tự nhiên trong rừng nguyên sinh, rừng thường xanh cây lá rộng, ở độ cao 200-1300m.",IV-V; 6-8
"Lục lạc không cuống, Lục lạc hoa tím",Crotalaria sessiliflora L.,0,Fabaceae,"Toàn cây chữa viêm mủ da, ung thư da, thực quản, não (cả cây).","Cao Bằng, Lạng Sơn tới Sông Bé. Cây mọc tự nhiên ở trảng cỏ, rừng rụng lá và rừng thông, ở độ cao tới 1500 m.",VI-IX; 8-1
"Thanh đạm nhớt, Thanh đạm lá đỏ",Coelogyne viscosa Rchb.f.,0,Orchidaceae,"Cảm, ỉa chảy, viêm phổi, đau khoang dạ dày.","Lao Cai, Lâm Đồng. Cây mọc tự nhiên, rải rác trong rừng thưa, ở độ cao 600-1.500 m.",VII-VIII
"Guột, Tế chia đôi",Dicranopteris pedata (Houtt) Nakaike,Polypodium pedatum Houtt.,Guột – Gleicheniaceae,"Chữa các bệnh đường tiết niệu, bạch đới, viêm phế quản, đòn ngã tổn thương (cả cây).",Các tỉnh vùng núi thấp miền.,0
"Chẹo thui lá to, Mạ sưa lá lớn, Quắn hoa to, Có pe (Thái)",Helicia grandifolia Lecomte,0,Proteaceae.,"Thân cây sắc uống chữa cơ thể nhức mỏi (Kinh nghiệm của dân tộc Thái – huyện Quế Phong, Nghệ An).","Lào Cai (Sa Pa), Hoà Bình (Mai Châu), Ninh Bình (Cúc Phương), Nghệ An (Quế Phong). Cây gỗ nhỏ, mọc rải rác trong rừng thứ sinh, ở độ cao 200-500 m.",IV-VI; 7-9
"Rau má lá rau muống, Hoa mặt trời, Chua lè, Rau má tía, Nhất điểm hồng, Tiết gà, Phiắc chèn phỉ (Tày), Co kém ún (Thái)",Emilia sonchifolia (L.) DC. – Cacalia sonchifolia L.,0,Asteraceae,"Giải nhiệt, tiêu độc, mụn nhọt, giảm sốt, ho, cảm cúm, viêm đường hô hấp, đau họng, nhọt ở miệng; viêm ruột ỉa chảy, lỵ; bệnh đường tiết niệu; viêm vú, viêm tinh hoàn; viêm thần kinh da, viêm vết thương bầm giập, rắn cắn (cả cây sắc uống). Lá tươi giã ép lấy nước nhỏ vào tai chữa viêm tai có mủ.",Cây mọc tự nhiên ở hầu hết các tỉnh nước ta từ đồng bằng tới miền núi.,III-X
"Dưa chuột, Hồ qua, Dưa leo, Qua nu (Tày)",Cucumis sativus L.,0,Cucurbitaceae,"Thuốc trừ giun, sán (Hạt sắc nước uống). Lợi tiểu, giải nhiệt (Lá).",Cây trồng.,V-X
"Ba dày, Hồ da xoan",Hoya obovata Decne.,0,Asclepiadaceae,Chữa sốt rét (cả cây sắc uống). Làm liền vết thương nhanh (Nhựa bôi).,Cây mọc phụ sinh tự nhiên ở vùng thấp hay trảng cây bụi gần đồng bằng,0
Gọng vó,Drosera indica L.,0,Droseraceae,Chữa chai chân (cả cây giã ngâm nước vo gạo đắp).,"Gia Lai, Lâm Đồng. Cây mọc tự nhiên ở nơi đất lầy.",Quanh năm
"Quan cái đằng, Bi leo",Pileostegia viburnoides Hook. f. &Thoms.,Schizophragma viburnoides Hook. f. & Thoms.,Thường sơn – Hydrangeaceaenal,"Chữa lưng đùi tê mỏi (rễ), lở loét nhiều năm (lá).",Lào Cai (Sa Pa),0
Sâm lá nhỏ,Decaschistia harmandii Pierre,0,Malvaceae,"Bổ, mát (Rễ củ sắc uống). Còn dùng chữa bệnh dịch hạch.","Vũng Tàu, Tây Ninh. Cây mọc tự nhiên rải rác trên các bãi hoang, ven đường, ven suối.",VI-VIII
